frame,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_THUMB_TIP_x,RIGHT_THUMB_TIP_y,RIGHT_THUMB_TIP_z,RIGHT_INDEX_FINGER_TIP_x,RIGHT_INDEX_FINGER_TIP_y,RIGHT_INDEX_FINGER_TIP_z,LEFT_THUMB_TIP_x,LEFT_THUMB_TIP_y,LEFT_THUMB_TIP_z,LEFT_INDEX_FINGER_TIP_x,LEFT_INDEX_FINGER_TIP_y,LEFT_INDEX_FINGER_TIP_z
33,0.1823,-0.4828,-0.0361,-0.1468,-0.4967,-0.0463,0.2066,-0.2458,-0.0011,-0.1997,-0.2642,-0.0903,0.1976,-0.0256,-0.0805,-0.1571,-0.1088,-0.2651,0.0551,0.7552,0.2194,-0.0619,0.7181,0.208,,,,,,,0.6586,0.5558,-0.0228,0.6637,0.5689,-0.0119
34,0.184,-0.4831,-0.0359,-0.1457,-0.4977,-0.0389,0.2109,-0.2461,-0.004,-0.1963,-0.2647,-0.0767,0.2012,-0.026,-0.0834,-0.1804,-0.1095,-0.2637,0.0568,0.7545,0.2195,-0.0565,0.7179,0.2154,,,,,,,0.6584,0.556,-0.0225,0.6639,0.5691,-0.0111
35,0.1894,-0.4835,-0.0358,-0.1404,-0.4991,-0.0284,0.2143,-0.2459,-0.0095,-0.1894,-0.2665,-0.0583,0.2032,-0.0261,-0.0925,-0.206,-0.1093,-0.2486,0.06,0.754,0.215,-0.0496,0.7176,0.2167,,,,,,,0.6581,0.5566,-0.0219,0.664,0.569,-0.0106
36,0.1913,-0.4837,-0.0365,-0.1382,-0.4997,-0.0234,0.2154,-0.2458,-0.0138,-0.1896,-0.2669,-0.0497,0.2035,-0.0264,-0.0975,-0.2298,-0.1101,-0.2395,0.0601,0.7515,0.218,-0.0453,0.7173,0.2232,0.3793,0.4489,-0.0626,0.3747,0.453,-0.0673,0.6576,0.5565,-0.0217,0.6638,0.5692,-0.0101
37,0.1916,-0.4838,-0.0389,-0.1378,-0.5006,-0.0223,0.2149,-0.2458,-0.0193,-0.2006,-0.2712,-0.0339,0.203,-0.0265,-0.1046,-0.2604,-0.1103,-0.2058,0.06,0.747,0.2227,-0.0433,0.7171,0.2252,,,,,,,0.6575,0.5564,-0.0214,0.6644,0.5694,-0.0096
38,0.1913,-0.4842,-0.0491,-0.138,-0.5014,-0.0287,0.2141,-0.2462,-0.0321,-0.2083,-0.2743,-0.0216,0.2027,-0.0267,-0.1228,-0.2922,-0.1109,-0.1656,0.06,0.7425,0.2248,-0.0433,0.717,0.2253,0.33,0.4663,-0.0417,0.3254,0.4477,-0.0566,0.6573,0.5562,-0.0215,0.6639,0.5693,-0.0076
39,0.1913,-0.4845,-0.0552,-0.1384,-0.5023,-0.0322,0.2145,-0.2467,-0.0359,-0.2173,-0.2793,-0.0174,0.2027,-0.0268,-0.1249,-0.3103,-0.1128,-0.1543,0.0603,0.7396,0.2286,-0.0427,0.7169,0.2261,,,,,,,0.657,0.556,-0.0209,0.6634,0.5693,-0.0085
40,0.1914,-0.4846,-0.0563,-0.1392,-0.5022,-0.0343,0.2152,-0.2474,-0.0377,-0.2348,-0.2838,-0.0169,0.2034,-0.0269,-0.1269,-0.3351,-0.1135,-0.1445,0.0618,0.7367,0.234,-0.042,0.7167,0.2261,0.2877,0.4708,-0.0361,0.2881,0.4518,-0.0441,0.6568,0.556,-0.0214,0.6634,0.5696,-0.0071
41,0.1912,-0.485,-0.0595,-0.1416,-0.502,-0.0355,0.2155,-0.2492,-0.0417,-0.2464,-0.2872,-0.0149,0.2036,-0.027,-0.131,-0.3507,-0.1128,-0.1253,0.0643,0.7343,0.2425,-0.0419,0.7154,0.2267,0.2844,0.4592,-0.0415,0.2744,0.46,-0.0462,0.6566,0.5561,-0.0213,0.6628,0.5694,-0.0073
42,0.1904,-0.4855,-0.0705,-0.1452,-0.5004,-0.0492,0.2158,-0.2515,-0.0562,-0.253,-0.286,-0.0217,0.2042,-0.028,-0.1544,-0.3782,-0.112,-0.1277,0.0648,0.7341,0.2444,-0.0425,0.715,0.2263,,,,,,,0.6566,0.5562,-0.0212,0.6631,0.5692,-0.0068
43,0.1903,-0.4855,-0.0745,-0.1475,-0.4994,-0.0578,0.2166,-0.2527,-0.0612,-0.2633,-0.2881,-0.0254,0.2046,-0.0281,-0.1613,-0.3883,-0.1112,-0.1236,0.0665,0.7347,0.2425,-0.0427,0.715,0.2158,0.2432,0.4723,-0.0367,0.2439,0.4526,-0.0425,0.6565,0.5564,-0.0206,0.6629,0.5696,-0.0071
44,0.1902,-0.4858,-0.0752,-0.148,-0.4993,-0.058,0.2173,-0.2537,-0.0628,-0.2671,-0.2927,-0.0226,0.2049,-0.0283,-0.1623,-0.394,-0.1123,-0.115,0.0688,0.7348,0.2421,-0.0422,0.7157,0.213,0.2089,0.4611,-0.0365,0.2242,0.4513,-0.0423,0.6566,0.5564,-0.0201,0.6631,0.5697,-0.0054
45,0.189,-0.4866,-0.0829,-0.1504,-0.499,-0.0641,0.2173,-0.2554,-0.0721,-0.2651,-0.2918,-0.0236,0.2054,-0.029,-0.1721,-0.4016,-0.1123,-0.1096,0.0711,0.7338,0.2455,-0.0403,0.7161,0.2151,0.1991,0.4647,-0.0215,0.2162,0.4524,-0.0256,0.6564,0.5564,-0.0198,0.6629,0.57,-0.0064
46,0.1875,-0.4868,-0.0845,-0.1521,-0.499,-0.0638,0.2173,-0.2564,-0.0742,-0.2704,-0.2947,-0.0178,0.2057,-0.0296,-0.1736,-0.4084,-0.1135,-0.0971,0.0719,0.7334,0.2447,-0.0395,0.7163,0.2153,0.1878,0.4666,-0.0165,0.2064,0.453,-0.0207,0.6563,0.5567,-0.0182,0.6627,0.57,-0.004
47,0.1874,-0.4868,-0.1003,-0.1525,-0.4982,-0.0794,0.2173,-0.2568,-0.092,-0.2723,-0.2955,-0.027,0.2067,-0.03,-0.1912,-0.4155,-0.1136,-0.1073,0.0733,0.7339,0.2444,-0.0395,0.7166,0.2133,0.1811,0.4651,-0.019,0.1962,0.4519,-0.0234,0.6562,0.5568,-0.0166,0.6631,0.5702,-0.0017
48,0.1863,-0.4866,-0.1127,-0.1527,-0.4964,-0.0906,0.2161,-0.2568,-0.1091,-0.2741,-0.2951,-0.0423,0.2066,-0.0301,-0.2099,-0.4191,-0.1135,-0.1096,0.0743,0.7357,0.2441,-0.04,0.7173,0.2125,0.1755,0.4651,-0.0192,0.1912,0.4554,-0.0241,0.6562,0.5567,-0.0174,0.6621,0.5701,-0.0049
49,0.1847,-0.4863,-0.1199,-0.1536,-0.4943,-0.0992,0.2138,-0.2568,-0.117,-0.2768,-0.2947,-0.056,0.2065,-0.0302,-0.22,-0.424,-0.1131,-0.12,0.0748,0.7371,0.2426,-0.04,0.7179,0.2121,0.1691,0.4663,-0.0214,0.1869,0.4553,-0.0253,0.6559,0.557,-0.0179,0.6628,0.5706,-0.0034
50,0.1838,-0.4861,-0.1251,-0.1539,-0.492,-0.1043,0.2121,-0.2568,-0.1229,-0.2759,-0.2939,-0.0624,0.2065,-0.0302,-0.2264,-0.4255,-0.1119,-0.126,0.0754,0.7371,0.2434,-0.0401,0.7182,0.2138,0.1657,0.4665,-0.0192,0.1836,0.4548,-0.0238,0.6563,0.5569,-0.0191,0.6628,0.5704,-0.0058
51,0.1826,-0.4859,-0.1277,-0.1544,-0.4896,-0.1067,0.2103,-0.2567,-0.1273,-0.2766,-0.2928,-0.0669,0.2061,-0.0302,-0.2324,-0.4269,-0.1116,-0.1329,0.0755,0.7375,0.2437,-0.0397,0.7194,0.2134,0.1634,0.4663,-0.0181,0.181,0.4553,-0.0234,0.6565,0.557,-0.0198,0.663,0.5707,-0.0054
52,0.1817,-0.4858,-0.1262,-0.1556,-0.4884,-0.1055,0.2103,-0.2567,-0.1256,-0.2775,-0.2918,-0.0659,0.2062,-0.0302,-0.2319,-0.4283,-0.1116,-0.1359,0.0755,0.7395,0.2383,-0.0398,0.7212,0.208,0.1622,0.4662,-0.0186,0.1815,0.4554,-0.0232,0.6566,0.5569,-0.0188,0.6632,0.5707,-0.0049
53,0.1811,-0.4853,-0.1268,-0.1558,-0.4879,-0.1063,0.2104,-0.2566,-0.1241,-0.2786,-0.2915,-0.0652,0.2066,-0.0302,-0.2281,-0.4301,-0.1117,-0.136,0.0764,0.7412,0.2343,-0.0399,0.7216,0.2055,0.1603,0.467,-0.018,0.1803,0.4561,-0.0233,0.6564,0.557,-0.0174,0.663,0.5709,-0.0039
54,0.181,-0.4838,-0.1348,-0.1558,-0.4857,-0.1136,0.2114,-0.2558,-0.1309,-0.278,-0.288,-0.0691,0.2077,-0.0295,-0.2338,-0.4348,-0.1097,-0.1393,0.0771,0.7414,0.2341,-0.0397,0.7218,0.2056,0.159,0.4669,-0.0178,0.1788,0.4569,-0.0232,0.656,0.557,-0.0169,0.6626,0.5711,-0.0044
55,0.181,-0.4818,-0.1385,-0.1557,-0.485,-0.1139,0.2126,-0.2545,-0.1346,-0.2774,-0.2876,-0.0681,0.2083,-0.0284,-0.236,-0.4376,-0.1093,-0.1385,0.0776,0.7441,0.2249,-0.0397,0.7232,0.1977,0.158,0.4664,-0.0169,0.1753,0.4602,-0.0236,0.6559,0.5568,-0.0173,0.6628,0.571,-0.0037
56,0.181,-0.4798,-0.1465,-0.1556,-0.483,-0.1221,0.2127,-0.2518,-0.1417,-0.2769,-0.2831,-0.0738,0.2086,-0.026,-0.2408,-0.4398,-0.1028,-0.1433,0.0786,0.7457,0.2228,-0.0396,0.7254,0.1934,0.1613,0.4633,-0.025,0.1611,0.4706,-0.0275,0.6555,0.5568,-0.0185,0.6617,0.5712,-0.0066
57,0.1809,-0.4792,-0.1491,-0.1556,-0.4824,-0.127,0.2127,-0.2509,-0.1436,-0.2781,-0.2827,-0.0802,0.2084,-0.0245,-0.2427,-0.442,-0.0981,-0.1497,0.0793,0.7462,0.2231,-0.039,0.7263,0.193,0.1663,0.4594,-0.028,0.1592,0.4771,-0.0308,0.6554,0.5566,-0.0187,0.6616,0.5714,-0.0062
58,0.1809,-0.4765,-0.1514,-0.1553,-0.4815,-0.1279,0.2128,-0.2474,-0.1437,-0.2781,-0.2813,-0.0788,0.2085,-0.0217,-0.2414,-0.4448,-0.0939,-0.1496,0.0799,0.7482,0.219,-0.0381,0.7277,0.1895,0.1696,0.4645,-0.0372,0.1338,0.483,-0.0389,0.6554,0.5565,-0.0183,0.6617,0.5711,-0.0061
59,0.181,-0.4754,-0.1533,-0.1544,-0.4808,-0.1301,0.2129,-0.2462,-0.1439,-0.278,-0.2787,-0.0797,0.2085,-0.02,-0.2407,-0.4467,-0.0854,-0.1494,0.0808,0.7494,0.2179,-0.0375,0.7276,0.1899,0.1712,0.4587,-0.0355,0.1213,0.4833,-0.0334,0.655,0.5563,-0.0204,0.6613,0.5709,-0.0078
60,0.1811,-0.4751,-0.1546,-0.1538,-0.4799,-0.1311,0.2129,-0.2458,-0.1445,-0.2779,-0.2752,-0.08,0.2085,-0.0192,-0.24,-0.4459,-0.0793,-0.1492,0.081,0.7509,0.2154,-0.0366,0.7276,0.1905,0.1764,0.454,-0.0421,0.1144,0.479,-0.0413,0.6549,0.5563,-0.0203,0.661,0.5708,-0.0049
